원문,토큰,태그_1위,설명,태그_전체
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,노력하고,X8,title: Trying description: Terms depicting (level of) effort/resolution,X8|Q2.2|X7|A1.1.1|Z3
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,있습니다.,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|A3|M6|Q2.2|Z3
이에 따라 다음의 사항을 안내하니 가정에서도 협조하여 주시기 바랍니다.,이에,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|M6|Z4|A2.2|Z3
이에 따라 다음의 사항을 안내하니 가정에서도 협조하여 주시기 바랍니다.,따라,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|X2.4|M6|A6.1|X2.5
이에 따라 다음의 사항을 안내하니 가정에서도 협조하여 주시기 바랍니다.,다음의,N4,"title: Linear order description: Terms relating to linear movement/order, sequencing, etc.",N4|Z5|T1.1.3|Z3|A2.2
이에 따라 다음의 사항을 안내하니 가정에서도 협조하여 주시기 바랍니다.,사항을,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|X4.1|O4.1|A1.1.1|Q3
이에 따라 다음의 사항을 안내하니 가정에서도 협조하여 주시기 바랍니다.,안내하니,S8,title: Helping/hindering description: Terms depicting (level of) help/hindrance,S8|Q2.2|Z3|Z5|Q1.1
이에 따라 다음의 사항을 안내하니 가정에서도 협조하여 주시기 바랍니다.,가정에서도,S5,title: Groups and affiliation description: Terms relating to groups/the level of association/affiliation between groups,S5|Z5|S4|Z3|H4
이에 따라 다음의 사항을 안내하니 가정에서도 협조하여 주시기 바랍니다.,협조하여,A6.1,title: Comparing: Similar/different description: Comparative terms denoting similarity/difference,A6.1|S5|Z3|Z5|X2.5
이에 따라 다음의 사항을 안내하니 가정에서도 협조하여 주시기 바랍니다.,주시기,A9,"title: Getting and giving; possession description: General/abstract terms relating to allocating/relinquishing/acquiring/receiving, etc",A9|Z5|Z4|T1.3|Z1
이에 따라 다음의 사항을 안내하니 가정에서도 협조하여 주시기 바랍니다.,바랍니다.,Q2.2,title: Speech acts description: Speech acts terms,Q2.2|Z5|A7|X2.6|X7
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.",새봄의,T1.3,title: Time: Period description: Terms relating to a specific period of time,T1.3|Z1|T2|Z3|T3
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.",기운,E1,"title: General description: General terms depicting emotional actions, states and processes",E1|O4.1|W4|M6|K2
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.",속에,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|M6|S5|A2.2|A1.8
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.",새싹들이,S2,title: People description: Term indicating that particular words relate to/denote people – e.g. students,S2|Z1|Z3|L2|S2.2
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.",기지개를,O2,title: Objects generally description: Terms relating to objects generally,O2|Z3|T2|B5|M6
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.",펴는,T2,title: Time: Beginning and ending description: Terms depicting commencement/completion,T2|T1.3|M1|Z5|A1.1.1
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.","계절,",T1.3,title: Time: Period description: Terms relating to a specific period of time,T1.3|T2|A2.1|Z5|T1.2
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.",학부모님,Z1,"title: Personal names description: Nouns that distinguish/identify an individual (e.g. a first name and/or surname, a title of address)",Z1|Z3|S2|Z2|S2.1
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.",가정에도,S5,title: Groups and affiliation description: Terms relating to groups/the level of association/affiliation between groups,S5|H4|S4|E2|Z3
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.",언제나,Z4,"title: Discourse Bin description: Discourse markers, emphatic communication terms",Z4|Z5|Z3|M6|Z1
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.",행복과,E4.1,title: Happy/sad: Happy description: Terms depicting (level of) happiness,E4.1|X9.2|O4.2|E4.2|A5.1
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.",건강이,B2,title: Health and disease description: Terms relating to the (state of the) physical condition,B2|O4.1|B1|Z3|S1.2.6
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.",넘치기를,N5,title: Quantities description: Terms depicting quantities,N5|Z5|M6|M1|Z3
"새봄의 기운 속에 새싹들이 기지개를 펴는 계절, 학부모님 가정에도 언제나 행복과 건강이 넘치기를 기원합니다.",기원합니다.,Q2.2,title: Speech acts description: Speech acts terms,Q2.2|X7|A7|X2.6|T2
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",2016학년도,T1.3,title: Time: Period description: Terms relating to a specific period of time,T1.3|T3|N1|N3.2|T1.2
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",학교평가는,Z1,"title: Personal names description: Nouns that distinguish/identify an individual (e.g. a first name and/or surname, a title of address)",Z1|Z3|P1|Z2|S2
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",전,N5.1,title: Entirety; maximum description: Terms depicting maximal/maximum quantities,N5.1|Z1|Z3|Z2|Z5
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",학교를,P1,title: Education in general description: Terms relating to education in general,P1|Z3|Z1|Z2|H1
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",대상으로,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|S2|A4.1|K4|M6
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",매년,N6,title: Frequency etc. description: Terms relating to frequency/rate of recurrence,N6|T1.3|Z1|N5.1|T2
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",학교자체평가로,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z1|Z2|S2|A1.1.1
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",실시되며,A1.1.1,"title: General actions, making etc. description: General/abstract terms relating to an activity/action (e.g. act, adventure, approach, arise); a characteristic/feature (e.g. absorb, attacking, automatically); aconstruction/craft and/or the action of constructing/crafting (e.g. arrange, assemble, bolts, boring, break)",A1.1.1|Z5|T2|Z3|G2.1
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",학교별로,Z1,"title: Personal names description: Nouns that distinguish/identify an individual (e.g. a first name and/or surname, a title of address)",Z1|Z3|A4.2|S5|A4.1
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.","교원,",S2,title: People description: Term indicating that particular words relate to/denote people – e.g. students,S2|Z1|Z3|G2.1|Z2
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.","학교운영위원,",Z1,"title: Personal names description: Nouns that distinguish/identify an individual (e.g. a first name and/or surname, a title of address)",Z1|Z3|S2|Z2|A1.1.1
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.","학부모,",S2,title: People description: Term indicating that particular words relate to/denote people – e.g. students,S2|Z1|Z3|Z2|S5
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",외부교육,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z1|Z2|S2|A1.1.1
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",전문가로,S2,title: People description: Term indicating that particular words relate to/denote people – e.g. students,S2|I3.2|A4.2|X9.1|Z1
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",구성된,S5,title: Groups and affiliation description: Terms relating to groups/the level of association/affiliation between groups,S5|A1.1.1|O4.1|A1.8|A4.2
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",자체평가위원회를,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z1|S5|Z2|S2
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",구성하여,S5,title: Groups and affiliation description: Terms relating to groups/the level of association/affiliation between groups,S5|A1.1.1|O4.1|A1.8|A4.2
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",평가의,X2.4,"title: Investigate, examine, test, search description: Terms relating to investigation/examination",X2.4|Q2.2|Z5|Q3|Q4
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",객관성을,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|S2|Z1|A4.2|S5
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",확보하고,A7,"title: Definite (+ modals) description: Abstract terms of modality (possibility, necessity, certainty, etc.)",A7|A9|Z5|A4.2|Z4
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",학교평가,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z1|Z2|P1|S2
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",결과는,X9.2,title: Ability: Success and failure description: Terms depicting (level of) success/failure,X9.2|A2.2|Z5|N2|Q1.1
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",내년도,T1.3,title: Time: Period description: Terms relating to a specific period of time,T1.3|T1.1.3|Z1|Z3|Z2
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",학교교육계획에,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|A1.1.1|Z1|Z2|S5
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",반영하여,A10,"title: Open/closed; Hiding/Hidden; Finding; Showing description: General/abstract terms relating to (level of) openness/concealment/exposure, etc",A10|A2.2|Q1.1|Q4.3|A1.8
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",학교,P1,title: Education in general description: Terms relating to education in general,P1|Z3|S5|H1|Z1
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",교육의,P1,title: Education in general description: Terms relating to education in general,P1|Z3|A1.1.1|Z1|S5
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",질을,O4.1,title: General appearance and physical properties description: Terms relating to general appearance/physical properties,O4.1|O4.2|A5.1|A1.1.1|Z5
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",제고하도록,A1.1.1,"title: General actions, making etc. description: General/abstract terms relating to an activity/action (e.g. act, adventure, approach, arise); a characteristic/feature (e.g. absorb, attacking, automatically); aconstruction/craft and/or the action of constructing/crafting (e.g. arrange, assemble, bolts, boring, break)",A1.1.1|A2.1|Z5|Z3|T2
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",변경되었습니다.,A2.1,"title: Affect: Modify, change description: General/abstract terms denoting (propensity for) change",A2.1|M1|Z5|T2|Q3
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,학교,P1,title: Education in general description: Terms relating to education in general,P1|H1|Z3|L2|S5
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,자율휴업일이지만,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z1|S5|Z2|A1.1.1
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,EBS,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z1|Z5|Z2|Z4
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,교육방송,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|P1|Z1|Q4.3|Z2
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,프로그램,X7,title: Wanting; planning; choosing description: Terms depicting (level of) desire/aspiration,X7|Y2|Q4.3|P1|Q1.2
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,시청(국어)은,Q3,"title: Language, speech and grammar description: Terms relating to language (including linguistic/grammatical terms)",Q3|Z3|Z2|Z1|Z5
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,있습니다.,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|A3|Z4|Z3|M6
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,매주,N6,title: Frequency etc. description: Terms relating to frequency/rate of recurrence,N6|T1.3|Z1|T2|N5.1
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,수요일에는,T1.3,title: Time: Period description: Terms relating to a specific period of time,T1.3|T1.2|Z1|Z5|T2
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,가족이,S4,title: Kin description: Terms relating to relationships between family members/familiars,S4|S5|S2|Z5|Z1
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,함께,S5,title: Groups and affiliation description: Terms relating to groups/the level of association/affiliation between groups,S5|T1.1.2|N5|A6.1|Z3
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,모여,S5,title: Groups and affiliation description: Terms relating to groups/the level of association/affiliation between groups,S5|A1.1.1|A1.8|A2.1|M1
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,식사를,F1,title: Food description: Terms relating to food and food preparation,F1|A1.1.1|F2|Z3|Z5
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,하면서,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|A1.1.1|Z4|X9.2|G2.1
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,대화를,Q2.1,title: Speech etc: Communicative description: Terms relating to spoken communication,Q2.1|Q2.2|Z5|Q3|A6.1
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,통해,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|Q2.2|A2.2|A1.1.1|Q2.1
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,가족,S4,title: Kin description: Terms relating to relationships between family members/familiars,S4|S5|S2|E2|S3.2
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,사랑과,E2,"title: Liking description: Terms depicting fondness/affection/partiality/attachment, or the lack of",E2|S3.2|Z5|Z1|Z3
