원문,토큰,태그_1위,설명,태그_전체
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",strives,X8,,X8|X7|A1.1.1|X2.4|Q2.2
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",to,Z5,,Z5|X7|A9|A2.2|N4
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",operate,A1.1.1,,A1.1.1|B3|G3|S7.1|M1
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",after,Z5,,Z5|N4|X2.4|A1.1.1|X7
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",-,Z5,,Z5|P1|Z3|T3|T1.3
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",school,P1,,P1|H1|L2|S5|Z3
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",programs,P1,,P1|Q4.3|Q1.2|Y2|X7
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",in,Z5,,Z5|S1.1.1|A1.1.1|A6.2|A6.1
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",a,Z5,,Z5|S1.1.1|N6|A6.2|O4.2
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",substantial,O4.1,,O4.1|N3.2|A1.1.1|O4.2|A5.1
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",manner,S1.1.1,,S1.1.1|X4.2|A1.1.1|X2|O4.2
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",to,Z5,,Z5|S1.1.1|A2.2|A2.1|A1.9
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",reduce,N5,,N5|A2.1|F1|A2.2|N3.2
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",parents,A9,,A9|S4|P1|S2|B1
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",',Z5,,Z5|T3|A3|A2.2|A9
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",private,S5,,S5|A10|G1.1|H1|P1
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",education,P1,,P1|H1|X2.3|I1.3|G1.1
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",expenses,I1.3,,I1.3|I1.1|A9|I1.2|A1.1.1
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",.,Z5,,Z5|Z3|K5.1|Z1|E2
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",Accordingly,A6.1,,A6.1|A1.2|A2.2|Z5|O4.1
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",",",Z5,,Z5|Z3|E2|A2.2|K5.1
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",I,Z8,,Z8|Z4|Z5|Z3|T3
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",would,X7,,X7|A7|S3.2|E2|Z3
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",like,E2,,E2|X7|S3.2|O4.2|S7.4
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",to,Z5,,Z5|X7|E2|A9|S8
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",inform,X2.2,,X2.2|Q2.1|X2.4|A10|Q2.2
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",you,Z8,,Z8|Z5|S7.1|Z4|A1.1.1
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",of,Z5,,Z5|A6.1|Z3|X7|A1.1.1
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",the,Z5,,Z5|A6.1|N4|Z3|N5.1
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",following,N4,,N4|A6.1|Z5|A2.2|A1.1.1
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",matters,O1,,O1|O2|X4.1|A7|A4.1
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",",",Z5,,Z5|Z3|A2.2|K5.1|E2
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",so,Z5,,Z5|A13.3|O4.2|Z4|A5.1
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",please,E4.2,,E4.2|E2|S8|X7|S7.4
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",cooperate,S8,,S8|A1.1.1|S1.1.2|I1.1|S5
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",at,Z5,,Z5|T1.1.2|A3|S1.1.1|A9
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",home,H1,,H1|H4|M6|P1|A3
"Accordingly, I would like to inform you of the following matters, so please cooperate at home.",.,Z5,,Z5|Z3|K5.1|Z1|E2
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",In,Z5,,Z5|T1.3|N4|A2.1|T2
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",the,Z5,,Z5|T1.3|N4|N6|T3
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",season,T1.3,,T1.3|F1|N4|L2|F4
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",when,Z5,,Z5|T1.2|T1.3|N1|S1.1.3
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",sprouts,L3,,L3|F1|B1|X9.2|S2
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",stretch,N3.6,,N3.6|T1.3|A1.1.1|X8|K5.1
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",out,M6,,M6|A1.1.1|N3.6|T1.3|A10
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",in,Z5,,Z5|A2.1|T2|T1.3|M1
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",the,Z5,,Z5|T1.3|N6|Z3|E3
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",spring,T1.3,,T1.3|M4|W3|O2|O1.2
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",energy,Y1,,Y1|X5.2|A11.1|A1.1.1|X7
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",",",Z5,,Z5|Z3|T1.3|E2|M1
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",I,Z8,,Z8|Z5|Z4|X7|Z3
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",wish,X7,,X7|S6|S3.2|A9|S7.4
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",your,Z8,,Z8|X7|Z5|A9|S3.2
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",family,S4,,S4|A4.1|A9|B1|A11.1
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",happiness,E4.1,,E4.1|E4.2|I1.1|A5.1|E2
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",and,Z5,,Z5|E4.1|Z3|B2|E2
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",health,B2,,B2|X9.2|B3|X1|Z3
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",will,T1.1.3,,T1.1.3|X7|A1.4|G2.1|Q1.2
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",always,N6,,N6|A6.2|T2|T1.1.1|A13.3
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",overflow,N5,,N5|A1.1.1|M1|A1.1.2|B1
"In the season when sprouts stretch out in the spring energy, I wish your family happiness and health will always overflow.",.,Z5,,Z5|Z3|M1|T1.3|E2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",The,Z5,,Z5|Z3|N5.1|T1.3|N6
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",2016,T1.3,,T1.3|N1|T3|T1.2|N3.2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",school,P1,,P1|H1|S5|L2|Z3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",evaluation,X2.4,,X2.4|P1|A5|N2|X6
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",is,A3,,A3|Z5|A2.1|A9|P1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",conducted,A1.1.1,,A1.1.1|S1.1.1|O4.1|K2|Q4.3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",as,Z5,,Z5|A3|P1|A13|N5.1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",a,Z5,,Z5|P1|Z3|N6|S5
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",school,P1,,P1|H1|S5|L2|Z3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",self,S5,,S5|P1|H1|X2.1|A10
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",-,Z5,,Z5|Z3|K5.1|E2|T3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",evaluation,X2.4,,X2.4|P1|A5|N2|X6
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",for,Z5,,Z5|A5.1|Q3|X2.4|A2.2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",all,N5.1,,N5.1|P1|A13.2|N5|A6.3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",schools,P1,,P1|H1|S5|L2|Z3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",every,N5.1,,N5.1|N6|T2|Z5|B1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",year,T1.3,,T1.3|P1|N6|N5.1|T2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",",",Z5,,Z5|Z3|K5.1|T1.3|A2.2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",and,Z5,,Z5|Z3|N1|A2.2|Z1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",the,Z5,,Z5|Z3|A6.1|X2.4|P1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",evaluation,X2.4,,X2.4|P1|A5|N2|X6
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",changed,A2.1,,A2.1|B5|I1|A9|B1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",so,Z5,,Z5|A13.3|A2.2|M6|A4.2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",that,Z5,,Z5|Z8|A2.2|Z3|A13.3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",each,N5.1,,N5.1|Z5|B1|N5|N6
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",school,P1,,P1|H1|S5|L2|Z3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",will,T1.1.3,,T1.1.3|Q1.2|Z3|X7|A1.1.1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",form,A3,,A3|A1.1.1|A2.1|T2|A1.8
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",a,Z5,,Z5|S5|N6|T2|P1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",self,S5,,S5|P1|A10|X2.1|B1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",-,Z5,,Z5|Z3|S5|X2.4|K5.1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",evaluation,X2.4,,X2.4|P1|A5|X6|A4.1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",committee,S5,,S5|S7.1|P1|G1.1|G1.2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",consisting,A1.8,,A1.8|A3|M1|A1.1.1|S1.1.3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",of,Z5,,Z5|S5|Z3|P1|Z1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",teachers,P1,,P1|S2|H1|I3.2|Z3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",",",Z5,,Z5|Z3|K5.1|S5|A2.2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",school,P1,,P1|H1|S5|L2|Z3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",operation,A1.1.1,,A1.1.1|G3|B3|H1|S7.1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",committee,S5,,S5|S7.1|P1|G1.1|S2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",members,S2,,S2|B1|S5|A1.1.1|B2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",",",Z5,,Z5|Z3|K5.1|A2.2|E2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",parents,A9,,A9|S4|S2|P1|B1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",",",Z5,,Z5|Z3|K5.1|A2.2|E2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",and,Z5,,Z5|S2|Z3|P1|Z1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",external,G1.1,,G1.1|P1|M6|H1|A10
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",education,P1,,P1|X2.3|H1|Z3|Y1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",experts,X2.2,,X2.2|S2|X9.1|P1|I3.2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",to,Z5,,Z5|X2.2|A2.2|S7.1|Z3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",ensure,A15,,A15|A7|X2.6|X6|E6
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",the,Z5,,Z5|N5.1|Z3|X2.4|A4.2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",objectivity,A5.3,,A5.3|A5.4|A5.2|A4.2|Q4
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",of,Z5,,Z5|Z3|A1.1.1|X2.4|A4.2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",the,Z5,,Z5|Z3|P1|X2.4|N5.1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",evaluation,X2.4,,X2.4|P1|A5|N2|X6
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",and,Z5,,Z5|X2.4|Z3|A2.2|P1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",the,Z5,,Z5|Z3|A6.1|N5.1|N4
